VSG,cluster,degree,n
Tb427_000065800,122,1,2
Tb427_000066000,123,1,2
Tb427_000066100,124,2,3
Tb427_000066500:pseudogene,125,1,5
Tb427_000067100:pseudogene,126,2,3
Tb427_000067300,127,6,8
Tb427_000067400,128,3,4
Tb427_000067600:pseudogene,126,2,3
Tb427_000068300,127,6,8
Tb427_000068500:pseudogene,129,3,4
Tb427_000068600:pseudogene,130,5,6
Tb427_000068800,89,4,5
Tb427_000068900:pseudogene,90,7,8
Tb427_000069800:pseudogene,2,5,6
Tb427_000070100,131,1,3
Tb427_000070200,131,1,3
Tb427_000070500,132,4,5
Tb427_000070600,133,4,5
Tb427_000070800:pseudogene,34,12,14
Tb427_000070900:pseudogene,35,3,4
Tb427_000071700,134,3,4
Tb427_000072200:pseudogene,135,2,3
Tb427_000072900:pseudogene,136,4,6
Tb427_000073200:pseudogene,137,1,2
Tb427_000073500,138,4,5
Tb427_000073600:pseudogene,139,2,3
Tb427_000073800:pseudogene,140,1,2
Tb427_000074700,141,1,2
Tb427_000075300:pseudogene,142,1,2
Tb427_000075700,90,7,8
Tb427_000075800,89,4,5
Tb427_000076000:pseudogene,143,3,4
Tb427_000076400,144,1,2
Tb427_000076800:pseudogene,145,8,17
Tb427_000076900:pseudogene,146,1,2
Tb427_000077500:pseudogene,147,10,11
Tb427_000077800:pseudogene,148,2,10
Tb427_000077900,149,2,3
Tb427_000078000:pseudogene,150,1,3
Tb427_000078500,151,5,7
Tb427_000078600,151,5,7
Tb427_000078700,36,4,5
Tb427_000078900:pseudogene,152,5,9
Tb427_000079400:pseudogene,153,4,5
Tb427_000079700:pseudogene,20,2,3
Tb427_000080000,154,2,3
Tb427_000080400:pseudogene,155,3,4
Tb427_000080600:pseudogene,156,2,3
Tb427_000081600:pseudogene,157,5,6
Tb427_000081800,158,2,3
Tb427_000082000:pseudogene,143,3,4
Tb427_000082200:pseudogene,86,1,2
Tb427_000083700:pseudogene,159,1,2
Tb427_000084000:pseudogene,160,2,3
Tb427_000084300:pseudogene,161,16,48
Tb427_000084400:pseudogene,162,16,17
Tb427_000084500:pseudogene,163,1,2
Tb427_000084600:pseudogene,164,3,4
Tb427_000085900:pseudogene,165,10,11
Tb427_000086000,166,6,7
Tb427_000086300,167,1,2
Tb427_000086600,168,4,5
Tb427_000086800,169,1,2
Tb427_000086900:pseudogene,91,3,4
Tb427_000087000:pseudogene,170,1,2
Tb427_000087500,171,1,3
Tb427_000087800,172,1,2
Tb427_000088900:pseudogene,143,3,4
Tb427_000089100:pseudogene,173,3,4
Tb427_000089300:pseudogene,174,2,3
Tb427_000089500:pseudogene,175,1,2
Tb427_000089600:pseudogene,176,7,8
Tb427_000089700,177,8,9
Tb427_000089800:pseudogene,178,4,5
Tb427_000090000,179,11,13
Tb427_000090100,180,2,3
Tb427_000090200,181,3,4
Tb427_000090600,182,1,2
Tb427_000090700:pseudogene,183,7,8
Tb427_000090800:pseudogene,184,1,2
Tb427_000090900:pseudogene,63,12,13
Tb427_000091000,185,1,2
Tb427_000091200,186,1,2
Tb427_000091600:pseudogene,187,1,3
Tb427_000092300,188,1,2
Tb427_000092400,189,1,2
Tb427_000092800:pseudogene,190,5,6
Tb427_000093100,191,3,6
Tb427_000093200:pseudogene,108,5,12
Tb427_000093800:pseudogene,154,1,3
Tb427_000094300,190,1,6
Tb427_000094400,192,4,10
Tb427_000094500,88,2,3
Tb427_000094800:pseudogene,193,2,3
Tb427_000095000:pseudogene,148,8,10
Tb427_000095100,194,4,5
Tb427_000095300:pseudogene,195,2,3
Tb427_000095600,196,1,2
Tb427_000095700,197,2,8
Tb427_000095800,197,4,8
Tb427_000095900:pseudogene,198,4,5
Tb427_000096000,199,3,4
Tb427_000096700:pseudogene,72,4,5
Tb427_000096900:pseudogene,200,4,5
Tb427_000097400:pseudogene,201,1,2
Tb427_000097800,202,1,2
Tb427_000098100:pseudogene,203,1,2
Tb427_000098400:pseudogene,204,2,4
Tb427_000098800:pseudogene,205,2,3
Tb427_000099900:pseudogene,206,1,2
Tb427_000100000:pseudogene,84,7,8
Tb427_000100100:pseudogene,207,3,4
Tb427_000100300:pseudogene,147,10,11
Tb427_000100400:pseudogene,208,3,4
Tb427_000100900:pseudogene,209,1,2
Tb427_000101300,32,8,11
Tb427_000102100:pseudogene,210,4,5
Tb427_000102300,211,3,4
Tb427_000102400,212,1,2
Tb427_000103000,65,2,9
Tb427_000103100,64,1,2
Tb427_000103200:pseudogene,63,11,13
Tb427_000103600,213,1,2
Tb427_000103700:pseudogene,214,1,2
Tb427_000104100:pseudogene,215,2,3
Tb427_000104200,216,2,3
Tb427_000104300,217,3,4
Tb427_000104400:pseudogene,218,2,5
Tb427_000104900:pseudogene,161,3,48
Tb427_000105700,219,1,2
Tb427_000105800:pseudogene,138,4,5
Tb427_000106000,220,1,2
Tb427_000106100:pseudogene,221,5,7
Tb427_000106500:pseudogene,179,8,13
Tb427_000107100:pseudogene,222,1,2
Tb427_000107500:pseudogene,223,1,2
Tb427_000110900,25,1,2
Tb427_000112200:pseudogene,224,2,3
Tb427_000112500:pseudogene,225,1,2
Tb427_000112800,226,1,8
Tb427_000113400:pseudogene,227,5,8
Tb427_000113600,11,3,8
Tb427_000113800:pseudogene,228,12,16
Tb427_000113900,229,1,2
Tb427_000114000,230,6,8
Tb427_000114200:pseudogene,231,2,6
Tb427_000114400:pseudogene,183,7,8
Tb427_000114600:pseudogene,232,4,6
Tb427_000114800:pseudogene,233,4,8
Tb427_000114900,88,2,3
Tb427_000115200:pseudogene,89,4,5
Tb427_000115300,90,7,8
Tb427_000115800:pseudogene,71,3,4
Tb427_000116200:pseudogene,234,2,3
Tb427_000116300:pseudogene,235,1,3
Tb427_000116600:pseudogene,236,1,2
Tb427_000116700:pseudogene,237,1,2
Tb427_000116900:pseudogene,238,1,2
Tb427_000117400,239,1,2
Tb427_000117600:pseudogene,240,7,8
Tb427_000117700:pseudogene,241,5,7
Tb427_000117900:pseudogene,242,1,2
Tb427_000118200:pseudogene,15,4,5
Tb427_000118400:pseudogene,243,1,2
Tb427_000118700,244,3,5
Tb427_000118800:pseudogene,245,9,10
Tb427_000118900,246,3,6
Tb427_000119100,187,1,3
Tb427_000119300:pseudogene,161,9,48
Tb427_000119400:pseudogene,162,16,17
Tb427_000119600:pseudogene,69,1,4
Tb427_000119900:pseudogene,46,7,8
Tb427_000120800:pseudogene,247,3,4
Tb427_000121100,18,1,2
Tb427_000121300,248,1,2
Tb427_000121400:pseudogene,249,2,3
Tb427_000121500:pseudogene,108,6,12
Tb427_000121600,191,4,6
Tb427_000121700,250,1,2
Tb427_000121900,110,8,9
Tb427_000122300:pseudogene,69,3,4
Tb427_000122600:pseudogene,251,6,7
Tb427_000123100,185,1,2
Tb427_000124100:pseudogene,252,5,6
Tb427_000124400:pseudogene,253,4,6
Tb427_000124500,254,2,3
Tb427_000125400:pseudogene,255,1,2
Tb427_000125500,256,3,4
Tb427_000125700:pseudogene,257,2,3
Tb427_000125800:pseudogene,258,2,3
Tb427_000125900,259,3,4
Tb427_000126100:pseudogene,260,5,6
Tb427_000126400:pseudogene,261,3,4
Tb427_000126700,260,5,6
Tb427_000128000:pseudogene,84,7,8
Tb427_000128100:pseudogene,207,3,4
Tb427_000128300:pseudogene,147,10,11
Tb427_000128400,208,3,4
Tb427_000129000,262,4,5
Tb427_000129100:pseudogene,263,3,10
Tb427_000129300:pseudogene,264,4,5
Tb427_000129500,135,2,3
Tb427_000129600:pseudogene,265,1,4
Tb427_000129700:pseudogene,266,6,7
Tb427_000129800:pseudogene,108,5,12
Tb427_000130100:pseudogene,267,5,6
Tb427_000130200:pseudogene,268,2,5
Tb427_000130500,269,2,4
Tb427_000130800,270,2,3
Tb427_000130900,271,3,4
Tb427_000131000,106,2,3
Tb427_000132000:pseudogene,272,1,2
Tb427_000132600:pseudogene,273,8,9
Tb427_000132900,274,2,5
Tb427_000133000:pseudogene,275,2,3
Tb427_000133200,46,5,8
Tb427_000133500:pseudogene,276,1,2
Tb427_000133700,277,1,6
Tb427_000133800:pseudogene,63,11,13
Tb427_000133900:pseudogene,161,10,48
Tb427_000134100:pseudogene,228,10,16
Tb427_000135200:pseudogene,278,1,2
Tb427_000135300:pseudogene,148,8,10
Tb427_000136000,8,8,9
Tb427_000136200,279,1,3
Tb427_000136300:pseudogene,213,1,2
Tb427_000136400:pseudogene,214,1,2
Tb427_000136700,280,4,7
Tb427_000136800:pseudogene,281,3,4
Tb427_000136900:pseudogene,282,3,4
Tb427_000137000,259,3,4
Tb427_000137200:pseudogene,28,6,7
Tb427_000137300,283,4,6
Tb427_000137800,284,1,2
Tb427_000137900:pseudogene,285,1,2
Tb427_000138100:pseudogene,286,2,3
Tb427_000138500:pseudogene,161,3,48
Tb427_000138700:pseudogene,218,2,5
Tb427_000138900:pseudogene,44,2,3
Tb427_000139600:pseudogene,249,2,3
Tb427_000139800,256,2,4
Tb427_000139900,256,2,4
Tb427_000140600,287,1,2
Tb427_000140900:pseudogene,32,7,11
Tb427_000141000:pseudogene,288,2,3
Tb427_000141200,179,5,13
Tb427_000141300,100,5,6
Tb427_000141400,107,8,9
Tb427_000141500,289,5,6
Tb427_000141700,161,6,48
Tb427_000141800:pseudogene,290,4,5
Tb427_000142200:pseudogene,291,2,5
Tb427_000142300:pseudogene,292,6,7
Tb427_000142600,5,2,3
Tb427_000142700:pseudogene,19,1,2
Tb427_000143100,293,2,3
Tb427_000143200,294,1,2
Tb427_000143500:pseudogene,73,3,4
Tb427_000143700,31,5,6
Tb427_000144100,295,2,3
Tb427_000145100:pseudogene,142,1,2
Tb427_000145400,296,2,3
Tb427_000145500:pseudogene,297,4,5
Tb427_000145700,298,5,6
Tb427_000146000:pseudogene,173,3,4
Tb427_000147300:pseudogene,299,2,3
Tb427_000148400,300,2,3
Tb427_000148600,298,5,6
Tb427_000148700:pseudogene,47,6,7
Tb427_000148900:pseudogene,87,6,7
Tb427_000149000:pseudogene,153,4,5
Tb427_000149100:pseudogene,130,5,6
Tb427_000149400,244,3,5
Tb427_000150000:pseudogene,90,7,8
Tb427_000150100:pseudogene,89,4,5
Tb427_000150300:pseudogene,131,2,3
Tb427_000150700:pseudogene,132,4,5
Tb427_000150800,133,4,5
Tb427_000151000,301,2,3
Tb427_000151400:pseudogene,302,2,3
Tb427_000151700:pseudogene,303,2,3
Tb427_000151800,304,1,4
Tb427_000152200:pseudogene,9,2,7
Tb427_000152400:pseudogene,305,1,3
Tb427_000153400:pseudogene,81,5,7
Tb427_000153600:pseudogene,15,4,5
Tb427_000153700:pseudogene,65,4,9
Tb427_000153800,228,12,16
Tb427_000153900:pseudogene,306,1,2
Tb427_000154300:pseudogene,307,6,7
Tb427_000154500:pseudogene,308,4,5
Tb427_000154600,309,4,5
Tb427_000154800:pseudogene,147,10,11
Tb427_000155100:pseudogene,310,2,3
Tb427_000155200:pseudogene,136,3,6
Tb427_000155600:pseudogene,311,2,6
Tb427_000155700:pseudogene,151,6,7
Tb427_000155900,312,2,3
Tb427_000156300:pseudogene,94,12,14
Tb427_000156600,87,6,7
Tb427_000157000:pseudogene,193,2,3
Tb427_000157500:pseudogene,139,2,3
Tb427_000157600,313,1,2
Tb427_000157900:pseudogene,314,3,4
Tb427_000158900,172,1,2
Tb427_000159300,98,2,3
Tb427_000159400,171,2,3
Tb427_000159500:pseudogene,315,1,2
Tb427_000159600,197,4,8
Tb427_000159800:pseudogene,22,1,2
Tb427_000160300,316,1,2
Tb427_000160500:pseudogene,317,2,3
Tb427_000160900:pseudogene,318,1,2
Tb427_000161200:pseudogene,6,4,5
Tb427_000161300:pseudogene,106,2,3
Tb427_000161400,319,1,2
Tb427_000161700:pseudogene,254,2,3
Tb427_000161800:pseudogene,320,3,4
Tb427_000162000:pseudogene,132,4,5
Tb427_000162100,133,4,5
Tb427_000162400:pseudogene,321,1,5
Tb427_000162700:pseudogene,322,1,2
Tb427_000162900:pseudogene,323,1,6
Tb427_000163000,96,6,9
Tb427_000163100,296,1,3
Tb427_000163400:pseudogene,324,3,6
Tb427_000163900,143,3,4
Tb427_000164300,173,3,4
Tb427_000164500,174,2,3
Tb427_000164700:pseudogene,175,1,2
Tb427_000164800,176,7,8
Tb427_000164900:pseudogene,177,8,9
Tb427_000165100,325,3,4
Tb427_000165300,179,8,13
Tb427_000165400,180,2,3
Tb427_000165500:pseudogene,181,2,4
Tb427_000165800:pseudogene,326,2,3
Tb427_000166000:pseudogene,327,1,2
Tb427_000166200,328,1,2
Tb427_000166300,6,4,5
Tb427_000166900,329,1,2
Tb427_000167400:pseudogene,14,3,5
Tb427_000168000:pseudogene,330,2,3
Tb427_000168100,14,3,5
Tb427_000168200:pseudogene,331,1,2
Tb427_000168400:pseudogene,76,3,4
Tb427_000168700,332,2,3
Tb427_000169000:pseudogene,211,3,4
Tb427_000169200,280,4,7
Tb427_000169400,333,1,2
Tb427_000169500,334,1,2
Tb427_000169700:pseudogene,285,1,2
Tb427_000169900,268,4,5
Tb427_000170200:pseudogene,335,1,2
Tb427_000170300:pseudogene,336,3,4
Tb427_000170400:pseudogene,337,6,7
Tb427_000170600:pseudogene,323,5,6
Tb427_000170900:pseudogene,307,6,7
Tb427_000171500,338,4,5
Tb427_000171700:pseudogene,339,5,6
Tb427_000172100:pseudogene,340,1,2
Tb427_000172500,62,3,6
Tb427_000174400:pseudogene,341,2,5
Tb427_000174700,3,10,20
Tb427_000175900:pseudogene,251,5,7
Tb427_000176800:pseudogene,342,3,4
Tb427_000177400,79,1,2
Tb427_000177600,67,9,10
Tb427_000177700:pseudogene,78,2,3
Tb427_000178200:pseudogene,343,1,2
Tb427_000178300:pseudogene,85,6,7
Tb427_000178500:pseudogene,200,4,5
Tb427_000178600:pseudogene,166,6,7
Tb427_000178700:pseudogene,165,10,11
Tb427_000179000:pseudogene,289,5,6
Tb427_000179700:pseudogene,344,1,2
Tb427_000179800:pseudogene,161,1,48
Tb427_000179900,227,7,8
Tb427_000180100:pseudogene,263,7,10
Tb427_000180200:pseudogene,145,7,17
Tb427_000180400:pseudogene,145,7,17
Tb427_000180500:pseudogene,345,8,9
Tb427_000180700:pseudogene,113,13,14
Tb427_000181200:pseudogene,9,4,7
Tb427_000181300,67,9,10
Tb427_000181400,192,7,10
Tb427_000181600:pseudogene,346,3,4
Tb427_000181700:pseudogene,347,3,4
Tb427_000182200,348,2,3
Tb427_000182300:pseudogene,349,2,3
Tb427_000182900,350,11,12
Tb427_000183000,177,8,9
Tb427_000183100:pseudogene,176,5,8
Tb427_000183200,351,5,6
Tb427_000183300:pseudogene,352,4,5
Tb427_000183500:pseudogene,353,2,3
Tb427_000183600:pseudogene,145,8,17
Tb427_000183800:pseudogene,354,1,2
Tb427_000183900:pseudogene,355,1,2
Tb427_000184200:pseudogene,356,2,3
Tb427_000184500:pseudogene,357,1,2
Tb427_000184700:pseudogene,228,12,16
Tb427_000184900:pseudogene,358,1,2
Tb427_000185400,42,1,2
Tb427_000185500:pseudogene,359,1,2
Tb427_000185600:pseudogene,360,1,2
Tb427_000185700:pseudogene,361,1,2
Tb427_000185800:pseudogene,362,1,2
Tb427_000186000:pseudogene,363,1,2
Tb427_000186100:pseudogene,75,2,3
Tb427_000186200:pseudogene,74,3,4
Tb427_000186400:pseudogene,364,4,6
Tb427_000186500:pseudogene,365,2,3
Tb427_000187300,366,3,4
Tb427_000187700,121,7,8
Tb427_000187800:pseudogene,367,2,3
Tb427_000188200:pseudogene,368,1,2
Tb427_000188300,194,4,5
Tb427_000188600:pseudogene,369,2,3
Tb427_000188900,370,1,2
Tb427_000189100:pseudogene,371,2,6
Tb427_000189200:pseudogene,372,2,3
Tb427_000189700:pseudogene,373,6,7
Tb427_000189800,374,3,4
Tb427_000190000:pseudogene,375,2,3
Tb427_000190100:pseudogene,289,5,6
Tb427_000190200:pseudogene,204,3,4
Tb427_000190400,376,1,2
Tb427_000190500:pseudogene,377,2,3
Tb427_000190600,378,1,2
Tb427_000191300,379,3,4
Tb427_000191400:pseudogene,380,1,2
Tb427_000191700,381,1,2
Tb427_000191800:pseudogene,276,1,2
Tb427_000192000:pseudogene,382,4,5
Tb427_000192200:pseudogene,63,12,13
Tb427_000192300:pseudogene,161,9,48
Tb427_000192500,383,1,2
Tb427_000192600,200,4,5
Tb427_000192700,166,6,7
Tb427_000192800:pseudogene,165,10,11
Tb427_000193300:pseudogene,384,1,2
Tb427_000193400:pseudogene,305,1,3
Tb427_000193800:pseudogene,236,1,2
Tb427_000194200:pseudogene,38,8,9
Tb427_000194300:pseudogene,120,3,4
Tb427_000194500:pseudogene,385,2,3
Tb427_000194700,386,5,10
Tb427_000194800:pseudogene,32,5,11
Tb427_000195300,387,1,2
Tb427_000195400:pseudogene,162,16,17
Tb427_000195600:pseudogene,388,1,2
Tb427_000195700:pseudogene,127,6,8
Tb427_000196100:pseudogene,74,3,4
Tb427_000196700:pseudogene,389,5,7
Tb427_000198600,390,2,3
Tb427_000199400:pseudogene,391,3,6
Tb427_000199500,392,1,2
Tb427_000199600:pseudogene,393,1,2
Tb427_000199700,394,1,2
Tb427_000199800:pseudogene,395,1,2
Tb427_000200700,396,1,2
Tb427_000201000,397,1,2
Tb427_000201100,398,4,8
Tb427_000201700:pseudogene,280,5,7
Tb427_000201900:pseudogene,36,4,5
Tb427_000202000:pseudogene,151,6,7
Tb427_000202100:pseudogene,311,4,6
Tb427_000202400:pseudogene,382,4,5
Tb427_000202500:pseudogene,399,4,6
Tb427_000203000:pseudogene,400,1,2
Tb427_000203100,401,1,2
Tb427_000203200:pseudogene,402,1,2
Tb427_000203300,403,1,2
Tb427_000203400:pseudogene,147,10,11
Tb427_000203700:pseudogene,404,3,4
Tb427_000204400,231,5,6
Tb427_000205100:pseudogene,2,5,6
Tb427_000205700:pseudogene,46,7,8
Tb427_000205900,405,1,2
Tb427_000206500:pseudogene,406,4,9
Tb427_000206600:pseudogene,407,3,4
Tb427_000206800:pseudogene,408,2,3
Tb427_000207900,56,3,4
Tb427_000208200:pseudogene,197,7,8
Tb427_000208400:pseudogene,40,8,11
Tb427_000208700:pseudogene,111,2,3
Tb427_000208800,409,1,2
Tb427_000209100,35,3,4
Tb427_000209300:pseudogene,242,1,2
Tb427_000209500,241,5,7
Tb427_000209600,241,2,7
Tb427_000209700:pseudogene,240,5,8
Tb427_000210000:pseudogene,410,1,7
Tb427_000210100:pseudogene,165,6,11
Tb427_000210300,139,2,3
Tb427_000210400,313,1,2
Tb427_000211700:pseudogene,411,2,3
Tb427_000212000,82,1,2
Tb427_000212200:pseudogene,68,1,2
Tb427_000212400:pseudogene,16,3,4
Tb427_000212500:pseudogene,412,1,2
Tb427_000212600:pseudogene,413,2,3
Tb427_000212900,414,1,2
Tb427_000213000,415,6,7
Tb427_000213300:pseudogene,111,2,3
Tb427_000213400:pseudogene,110,8,9
Tb427_000213500:pseudogene,109,4,5
Tb427_000213600:pseudogene,87,6,7
Tb427_000213700,416,3,4
Tb427_000213900:pseudogene,221,6,7
Tb427_000214200,349,2,3
Tb427_000214400:pseudogene,83,1,2
Tb427_000214500:pseudogene,84,7,8
Tb427_000214600:pseudogene,85,5,7
Tb427_000214800:pseudogene,417,3,4
Tb427_000214900:pseudogene,418,1,2
Tb427_000215100,197,2,8
Tb427_000215200:pseudogene,419,2,3
Tb427_000215900,420,3,4
Tb427_000216200,421,2,3
Tb427_000216500,100,4,6
Tb427_000216600:pseudogene,422,2,3
Tb427_000216800,423,9,10
Tb427_000216900,286,2,3
Tb427_000217200:pseudogene,424,2,5
Tb427_000217400:pseudogene,425,3,4
Tb427_000217900,324,5,6
Tb427_000218000:pseudogene,161,5,48
Tb427_000218100:pseudogene,95,3,4
Tb427_000218300,397,1,2
Tb427_000218400:pseudogene,426,1,2
Tb427_000218700:pseudogene,427,3,4
Tb427_000218900:pseudogene,428,3,4
Tb427_000219200:pseudogene,43,2,3
Tb427_000219400,429,2,3
Tb427_000220400:pseudogene,430,2,3
Tb427_000220900,403,1,2
Tb427_000221000:pseudogene,402,1,2
Tb427_000221100:pseudogene,401,1,2
Tb427_000221200:pseudogene,400,1,2
Tb427_000221500:pseudogene,321,3,5
Tb427_000223500:pseudogene,347,3,4
Tb427_000223800:pseudogene,412,1,2
Tb427_000224100:pseudogene,16,3,4
Tb427_000224400,53,3,5
Tb427_000224500,431,2,3
Tb427_000224600,432,6,7
Tb427_000225300:pseudogene,252,5,6
Tb427_000225500:pseudogene,433,3,4
Tb427_000225800,434,1,2
Tb427_000226200:pseudogene,299,2,3
Tb427_000226400:pseudogene,373,6,7
Tb427_000226500:pseudogene,373,6,7
Tb427_000226600,374,3,4
Tb427_000226900:pseudogene,435,1,2
Tb427_000227000,72,2,5
Tb427_000227400:pseudogene,135,2,3
Tb427_000227600:pseudogene,303,2,3
Tb427_000227700,436,4,5
Tb427_000227900:pseudogene,320,3,4
Tb427_000228100:pseudogene,339,5,6
Tb427_000228300,114,1,2
Tb427_000228700:pseudogene,437,1,2
Tb427_000228800:pseudogene,104,2,3
Tb427_000229500,432,6,7
Tb427_000230000,438,1,2
Tb427_000230200,350,11,12
Tb427_000230300:pseudogene,177,8,9
Tb427_000230400:pseudogene,176,5,8
Tb427_000230500,439,1,2
Tb427_000231100,173,3,4
Tb427_000231600,226,5,8
Tb427_000231700,440,5,6
Tb427_000232100,283,5,6
Tb427_000232300:pseudogene,441,3,4
Tb427_000232400:pseudogene,442,2,3
Tb427_000232500:pseudogene,145,7,17
