VSG,cluster,degree,n
Tbb1125VSG-117.1,50,3,4
Tbb1125VSG-117.2,50,3,4
Tbb1125VSG-118,51,6,7
Tbb1125VSG-119,52,4,5
Tbb1125VSG-123,53,3,4
Tbb1125VSG-124,54,1,2
Tbb1125VSG-126,55,3,5
Tbb1125VSG-127.1,56,3,4
Tbb1125VSG-128,52,4,5
Tbb1125VSG-131,57,1,2
Tbb1125VSG-132,58,2,3
Tbb1125VSG-132.1,58,2,3
Tbb1125VSG-132.2,58,2,3
Tbb1125VSG-133,59,1,2
Tbb1125VSG-137,60,5,13
Tbb1125VSG-137.1,60,6,13
Tbb1125VSG-137.2,60,4,13
Tbb1125VSG-137.3,60,4,13
Tbb1125VSG-138,61,2,8
Tbb1125VSG-140,5,3,6
Tbb1125VSG-141,62,4,5
Tbb1125VSG-144,63,13,14
Tbb1125VSG-145,64,4,5
Tbb1125VSG-146,65,2,3
Tbb1125VSG-148,66,4,5
Tbb1125VSG-149,67,3,4
Tbb1125VSG-150,68,2,3
Tbb1125VSG-151,69,4,5
Tbb1125VSG-152,70,5,6
Tbb1125VSG-153,71,6,7
Tbb1125VSG-153.1,71,6,7
Tbb1125VSG-154,33,8,12
Tbb1125VSG-159,72,2,3
Tbb1125VSG-162,73,3,4
Tbb1125VSG-163,74,1,2
Tbb1125VSG-163.1,74,1,2
Tbb1125VSG-164,75,1,2
Tbb1125VSG-165,76,3,4
Tbb1125VSG-165.1,76,3,4
Tbb1125VSG-166,77,2,3
Tbb1125VSG-167,78,5,6
Tbb1125VSG-167.1,78,5,6
Tbb1125VSG-168,79,5,6
Tbb1125VSG-169,80,5,6
Tbb1125VSG-170,81,6,7
Tbb1125VSG-171,82,1,2
Tbb1125VSG-174,83,3,4
Tbb1125VSG-177,84,8,9
Tbb1125VSG-178,85,8,9
Tbb1125VSG-179,85,7,9
Tbb1125VSG-181,86,1,6
Tbb1125VSG-182,87,3,6
Tbb1125VSG-183,88,1,2
Tbb1125VSG-184,89,1,2
Tbb1125VSG-185,90,1,2
Tbb1125VSG-187,91,2,3
Tbb1125VSG-188,92,1,6
Tbb1125VSG-189,44,2,5
Tbb1125VSG-190,93,1,2
Tbb1125VSG-192,94,6,9
Tbb1125VSG-193,95,1,2
Tbb1125VSG-194,96,2,3
Tbb1125VSG-195,60,5,13
Tbb1125VSG-197,97,2,3
Tbb1125VSG-198,98,1,3
Tbb1125VSG-201,99,5,9
Tbb1125VSG-202,100,18,22
Tbb1125VSG-203,101,1,2
Tbb1125VSG-204,102,7,10
Tbb1125VSG-205,103,1,2
Tbb1125VSG-206,104,2,3
Tbb1125VSG-207,69,4,5
Tbb1125VSG-210,105,4,5
Tbb1125VSG-214,106,2,3
Tbb1125VSG-215,107,1,2
Tbb1125VSG-216,108,8,9
Tbb1125VSG-217,109,1,2
Tbb1125VSG-218,110,2,3
Tbb1125VSG-219,97,2,3
Tbb1125VSG-220,42,1,2
Tbb1125VSG-222,111,1,2
Tbb1125VSG-225,112,1,2
Tbb1125VSG-227,113,3,4
Tbb1125VSG-228,114,4,6
Tbb1125VSG-229,14,1,2
Tbb1125VSG-231,115,4,7
Tbb1125VSG-232,116,3,4
Tbb1125VSG-233,117,6,7
Tbb1125VSG-234,118,1,2
Tbb1125VSG-235,119,4,5
Tbb1125VSG-236,120,5,6
Tbb1125VSG-237,121,2,3
Tbb1125VSG-240,122,3,4
Tbb1125VSG-241,123,6,7
Tbb1125VSG-242,84,6,9
Tbb1125VSG-243,124,7,13
Tbb1125VSG-244,20,5,6
Tbb1125VSG-245,125,1,2
Tbb1125VSG-248,126,6,7
Tbb1125VSG-249,127,1,2
Tbb1125VSG-252,2,6,8
Tbb1125VSG-254,128,1,2
Tbb1125VSG-255,129,2,3
Tbb1125VSG-256,130,1,2
Tbb1125VSG-257,102,9,10
Tbb1125VSG-258,131,2,3
Tbb1125VSG-258.1,131,2,3
Tbb1125VSG-259,132,15,18
Tbb1125VSG-259.1,132,13,18
Tbb1125VSG-260,133,1,2
Tbb1125VSG-261,134,1,2
Tbb1125VSG-267,135,4,5
Tbb1125VSG-268,136,1,2
Tbb1125VSG-270,137,2,3
Tbb1125VSG-273,138,1,2
Tbb1125VSG-274,112,1,2
Tbb1125VSG-277,139,1,2
Tbb1125VSG-279,140,2,4
Tbb1125VSG-280,141,6,7
Tbb1125VSG-280.1,141,2,7
Tbb1125VSG-285,142,5,6
Tbb1125VSG-286,143,1,2
Tbb1125VSG-286.1,143,1,2
Tbb1125VSG-287,15,8,9
Tbb1125VSG-288,144,6,9
Tbb1125VSG-289,145,2,3
Tbb1125VSG-290,146,10,12
Tbb1125VSG-293,147,1,2
Tbb1125VSG-294,148,5,7
Tbb1125VSG-299,149,3,4
Tbb1125VSG-299.3,149,3,4
Tbb1125VSG-301,150,2,3
Tbb1125VSG-302,151,3,4
Tbb1125VSG-306,152,8,9
Tbb1125VSG-306.1,152,3,9
Tbb1125VSG-306.2,152,3,9
Tbb1125VSG-307,153,6,7
Tbb1125VSG-308,154,3,4
Tbb1125VSG-308.1,154,3,4
Tbb1125VSG-309,155,1,2
Tbb1125VSG-309.1,155,1,2
Tbb1125VSG-310,156,2,3
Tbb1125VSG-311,157,4,5
Tbb1125VSG-312,158,1,2
Tbb1125VSG-313,159,1,3
Tbb1125VSG-317,160,7,8
Tbb1125VSG-318,161,9,12
Tbb1125VSG-319,162,1,2
Tbb1125VSG-320,163,1,2
Tbb1125VSG-321,164,5,6
Tbb1125VSG-322,165,3,4
Tbb1125VSG-327,166,2,3
Tbb1125VSG-329,167,3,4
Tbb1125VSG-330,168,5,7
Tbb1125VSG-331,154,3,4
Tbb1125VSG-334,169,3,4
Tbb1125VSG-337,170,4,5
Tbb1125VSG-338,171,15,16
Tbb1125VSG-341,172,5,6
Tbb1125VSG-345,173,1,2
Tbb1125VSG-346,168,4,7
Tbb1125VSG-347,174,7,8
Tbb1125VSG-348,175,1,2
Tbb1125VSG-355,176,4,6
Tbb1125VSG-355.1,176,5,6
Tbb1125VSG-357,177,3,4
Tbb1125VSG-358,133,1,2
Tbb1125VSG-360,7,6,7
Tbb1125VSG-361,178,3,4
Tbb1125VSG-363,179,3,4
Tbb1125VSG-364,180,1,2
Tbb1125VSG-366,181,14,15
Tbb1125VSG-366.1,181,9,15
Tbb1125VSG-366.2,181,14,15
Tbb1125VSG-367,182,5,6
Tbb1125VSG-367.1,182,5,6
Tbb1125VSG-368,183,6,7
Tbb1125VSG-369,184,9,10
Tbb1125VSG-373,184,9,10
Tbb1125VSG-374,185,3,7
Tbb1125VSG-375,186,7,8
Tbb1125VSG-379,187,3,7
Tbb1125VSG-381,188,4,5
Tbb1125VSG-381.1,188,4,5
Tbb1125VSG-382,189,1,2
Tbb1125VSG-384,190,1,2
Tbb1125VSG-386,191,1,2
Tbb1125VSG-387,192,2,3
Tbb1125VSG-388,193,4,5
Tbb1125VSG-389,194,3,4
Tbb1125VSG-390,187,6,7
Tbb1125VSG-391,195,2,3
Tbb1125VSG-392,196,1,2
Tbb1125VSG-395,188,4,5
Tbb1125VSG-396,197,2,4
Tbb1125VSG-397,10,4,6
Tbb1125VSG-398,198,1,2
Tbb1125VSG-399,179,3,4
Tbb1125VSG-401,199,8,9
Tbb1125VSG-402,199,8,9
Tbb1125VSG-402.1,199,8,9
Tbb1125VSG-404,200,3,4
Tbb1125VSG-406,201,4,5
Tbb1125VSG-408,202,6,8
Tbb1125VSG-411,203,1,2
Tbb1125VSG-412,204,1,2
Tbb1125VSG-414,205,2,3
Tbb1125VSG-415,206,7,8
Tbb1125VSG-418,11,1,2
Tbb1125VSG-422,207,8,9
Tbb1125VSG-425,208,4,5
Tbb1125VSG-426,209,1,2
Tbb1125VSG-427,210,2,3
Tbb1125VSG-431,211,2,3
Tbb1125VSG-432,212,5,6
Tbb1125VSG-432.1,212,5,6
Tbb1125VSG-435,213,1,2
Tbb1125VSG-435.1,213,1,2
Tbb1125VSG-436,214,5,6
Tbb1125VSG-436.1,214,5,6
Tbb1125VSG-437,215,1,2
Tbb1125VSG-439,216,5,6
Tbb1125VSG-440,217,3,4
Tbb1125VSG-440.1,217,3,4
Tbb1125VSG-441,218,3,4
Tbb1125VSG-442,33,11,12
Tbb1125VSG-443,159,2,3
Tbb1125VSG-444,51,6,7
Tbb1125VSG-445,219,3,4
Tbb1125VSG-449,220,2,3
Tbb1125VSG-453,221,1,2
Tbb1125VSG-455,222,2,3
Tbb1125VSG-457,70,3,6
Tbb1125VSG-458,223,4,5
Tbb1125VSG-460,224,3,4
Tbb1125VSG-461,225,1,2
Tbb1125VSG-464,226,7,8
Tbb1125VSG-466,227,1,2
Tbb1125VSG-467,227,1,2
Tbb1125VSG-468,228,1,2
Tbb1125VSG-469,229,2,3
Tbb1125VSG-470,83,3,4
Tbb1125VSG-472,230,3,4
Tbb1125VSG-473,231,1,2
Tbb1125VSG-474,232,3,4
Tbb1125VSG-475,233,3,4
Tbb1125VSG-476,234,2,8
Tbb1125VSG-477,176,3,6
Tbb1125VSG-478,121,2,3
Tbb1125VSG-481,235,1,3
Tbb1125VSG-482,236,7,8
Tbb1125VSG-483,2,5,8
Tbb1125VSG-484,237,1,2
Tbb1125VSG-485,238,1,2
Tbb1125VSG-486,239,1,2
Tbb1125VSG-488,240,2,3
Tbb1125VSG-489,241,1,2
Tbb1125VSG-490,36,3,7
Tbb1125VSG-491,242,2,3
Tbb1125VSG-492,243,1,2
Tbb1125VSG-494,244,4,5
Tbb1125VSG-494.1,244,4,5
Tbb1125VSG-494.2,244,4,5
Tbb1125VSG-495,245,1,2
Tbb1125VSG-496,246,3,4
Tbb1125VSG-498,230,3,4
Tbb1125VSG-499,247,5,9
Tbb1125VSG-501,248,6,8
Tbb1125VSG-502,249,1,2
Tbb1125VSG-503,2,7,8
Tbb1125VSG-503.1,2,6,8
Tbb1125VSG-504,250,6,12
Tbb1125VSG-504.1,250,6,12
Tbb1125VSG-505,251,7,10
Tbb1125VSG-506,252,2,3
Tbb1125VSG-507,253,4,5
Tbb1125VSG-508,254,3,4
Tbb1125VSG-509,255,1,2
Tbb1125VSG-512,210,2,3
Tbb1125VSG-514,136,1,2
Tbb1125VSG-515,256,1,2
Tbb1125VSG-516,257,3,6
Tbb1125VSG-519,258,3,5
Tbb1125VSG-520,1,5,7
Tbb1125VSG-521,259,3,4
Tbb1125VSG-522,260,4,6
Tbb1125VSG-523,261,1,2
Tbb1125VSG-524,262,3,4
Tbb1125VSG-526,79,5,6
Tbb1125VSG-529,263,2,5
Tbb1125VSG-530,264,7,10
Tbb1125VSG-531,265,5,9
Tbb1125VSG-533,266,1,2
Tbb1125VSG-535,126,6,7
Tbb1125VSG-537,267,6,7
Tbb1125VSG-539,132,15,18
Tbb1125VSG-541,12,3,4
Tbb1125VSG-550,197,3,4
Tbb1125VSG-1001,268,4,5
Tbb1125VSG-1005,269,2,3
Tbb1125VSG-1006,270,9,10
Tbb1125VSG-1007,271,4,5
Tbb1125VSG-1009,272,1,2
Tbb1125VSG-1011,273,3,4
Tbb1125VSG-1012,274,3,4
Tbb1125VSG-1013,275,1,2
Tbb1125VSG-1014,276,5,8
Tbb1125VSG-1015,277,5,6
Tbb1125VSG-1017,278,6,7
Tbb1125VSG-1020,279,1,2
Tbb1125VSG-1021,280,6,8
Tbb1125VSG-1022,281,10,12
Tbb1125VSG-1023,282,2,3
Tbb1125VSG-1023.1,282,2,3
Tbb1125VSG-1024,263,4,5
Tbb1125VSG-1025,283,1,2
Tbb1125VSG-1025.1,283,1,2
Tbb1125VSG-1026,284,6,7
Tbb1125VSG-1027,285,4,5
Tbb1125VSG-1028,286,3,4
Tbb1125VSG-1029,286,3,4
Tbb1125VSG-1030,287,5,6
Tbb1125VSG-1031,288,2,3
Tbb1125VSG-1032,289,2,3
Tbb1125VSG-1034,290,7,9
Tbb1125VSG-1035,291,3,4
Tbb1125VSG-1036,16,5,6
Tbb1125VSG-1037,292,5,6
Tbb1125VSG-1038,293,1,4
Tbb1125VSG-1039,294,4,5
Tbb1125VSG-1041,295,5,8
Tbb1125VSG-1042,296,3,4
Tbb1125VSG-1042.1,296,3,4
Tbb1125VSG-1043,297,5,6
Tbb1125VSG-1046,298,5,6
Tbb1125VSG-1047,299,3,4
Tbb1125VSG-1048,300,2,3
Tbb1125VSG-1049,301,3,6
Tbb1125VSG-1050,302,2,3
Tbb1125VSG-1051,232,3,4
Tbb1125VSG-1053,303,1,2
Tbb1125VSG-1054,304,12,21
Tbb1125VSG-1055,305,6,7
Tbb1125VSG-1056,263,2,5
Tbb1125VSG-1057,306,5,6
Tbb1125VSG-1058,307,1,2
Tbb1125VSG-1059,308,1,2
Tbb1125VSG-1060,309,8,9
Tbb1125VSG-1061,310,2,3
Tbb1125VSG-1063,311,5,6
Tbb1125VSG-1064,312,1,2
Tbb1125VSG-1065,226,7,8
Tbb1125VSG-1066,313,3,4
Tbb1125VSG-1066.1,313,3,4
Tbb1125VSG-1067,314,3,4
Tbb1125VSG-1068,315,1,2
Tbb1125VSG-1069,316,8,9
Tbb1125VSG-1069.1,316,8,9
Tbb1125VSG-1070,317,6,11
Tbb1125VSG-1071,318,4,5
Tbb1125VSG-1072,94,6,9
Tbb1125VSG-1073,319,7,8
Tbb1125VSG-1074,305,6,7
Tbb1125VSG-1075,320,1,2
Tbb1125VSG-1077,321,1,2
Tbb1125VSG-1078,322,2,3
Tbb1125VSG-1079,323,7,9
Tbb1125VSG-1080,324,1,2
Tbb1125VSG-1081,325,1,2
Tbb1125VSG-1083,326,1,2
Tbb1125VSG-1084,327,6,8
Tbb1125VSG-1084.1,327,6,8
Tbb1125VSG-1086,328,1,2
Tbb1125VSG-1087,40,7,8
Tbb1125VSG-1088,61,3,8
Tbb1125VSG-1089,329,1,2
Tbb1125VSG-1090,330,1,2
Tbb1125VSG-1091,331,3,4
Tbb1125VSG-1092,332,12,15
Tbb1125VSG-1093,333,1,2
Tbb1125VSG-1094,166,2,3
Tbb1125VSG-1097,334,1,2
Tbb1125VSG-1099,335,11,12
Tbb1125VSG-1101,336,2,4
Tbb1125VSG-1104,337,8,9
Tbb1125VSG-1105,338,1,2
Tbb1125VSG-1106,64,4,5
Tbb1125VSG-1107,339,1,2
Tbb1125VSG-1108,340,2,3
Tbb1125VSG-1110,341,2,4
Tbb1125VSG-1111,172,5,6
Tbb1125VSG-1112,342,5,6
Tbb1125VSG-1114,157,4,5
Tbb1125VSG-1115,343,2,3
Tbb1125VSG-1116,79,5,6
Tbb1125VSG-1117,101,1,2
Tbb1125VSG-1118,344,1,2
Tbb1125VSG-1120,345,1,2
Tbb1125VSG-1121,346,3,4
Tbb1125VSG-1122,347,2,3
Tbb1125VSG-1125,348,2,3
Tbb1125VSG-1125.1,348,2,3
Tbb1125VSG-1126,349,6,8
Tbb1125VSG-1127,350,4,5
Tbb1125VSG-1128,351,3,5
Tbb1125VSG-1130,352,5,6
Tbb1125VSG-1131,353,1,2
Tbb1125VSG-1132,354,1,2
Tbb1125VSG-1133,355,1,2
Tbb1125VSG-1135,356,1,2
Tbb1125VSG-1136,357,6,10
Tbb1125VSG-1137,358,8,9
Tbb1125VSG-1138,120,4,6
Tbb1125VSG-1139,359,1,2
Tbb1125VSG-1140,294,4,5
Tbb1125VSG-1140.1,294,3,5
Tbb1125VSG-1143,360,2,3
Tbb1125VSG-1145,361,5,6
Tbb1125VSG-1145.1,361,5,6
Tbb1125VSG-1146,361,5,6
Tbb1125VSG-1147,362,5,6
Tbb1125VSG-1148,363,1,2
Tbb1125VSG-1148.1,363,1,2
Tbb1125VSG-1149,364,4,5
Tbb1125VSG-1150,365,3,5
Tbb1125VSG-1151,366,3,4
Tbb1125VSG-1152,367,4,8
Tbb1125VSG-1153,368,10,11
Tbb1125VSG-1155,369,6,7
Tbb1125VSG-1155.1,369,6,7
Tbb1125VSG-1156,247,1,9
Tbb1125VSG-1157,370,2,5
Tbb1125VSG-1158,371,5,7
Tbb1125VSG-1159,372,1,2
Tbb1125VSG-1159.1,372,1,2
Tbb1125VSG-1160,373,8,9
Tbb1125VSG-1162,374,3,4
Tbb1125VSG-1164,375,7,9
Tbb1125VSG-1165,161,11,12
Tbb1125VSG-1166,376,4,5
Tbb1125VSG-1168,377,3,4
Tbb1125VSG-1169,378,2,3
Tbb1125VSG-1170,379,1,2
Tbb1125VSG-1172,380,1,2
Tbb1125VSG-1173,15,7,9
Tbb1125VSG-1174,381,3,4
Tbb1125VSG-1174.1,381,3,4
Tbb1125VSG-1176,382,5,6
Tbb1125VSG-1177,380,1,2
Tbb1125VSG-1178,383,2,3
Tbb1125VSG-1179,384,3,4
Tbb1125VSG-1180,385,8,10
Tbb1125VSG-1181,386,4,5
Tbb1125VSG-1182,387,1,2
Tbb1125VSG-1183,388,1,2
Tbb1125VSG-1183.1,388,1,2
Tbb1125VSG-1184,92,2,6
Tbb1125VSG-1187,132,15,18
Tbb1125VSG-1188,389,3,4
Tbb1125VSG-1189,390,2,3
Tbb1125VSG-1190,391,3,4
Tbb1125VSG-1190.1,391,3,4
Tbb1125VSG-1191,392,7,8
Tbb1125VSG-1192,234,6,8
Tbb1125VSG-1193,393,2,4
Tbb1125VSG-1194,394,4,7
Tbb1125VSG-1195,385,9,10
Tbb1125VSG-1196,356,1,2
Tbb1125VSG-1198,17,1,2
Tbb1125VSG-1199,195,2,3
Tbb1125VSG-1200,226,7,8
Tbb1125VSG-1200.1,226,7,8
Tbb1125VSG-1201,395,2,3
Tbb1125VSG-1201.1,395,2,3
Tbb1125VSG-1203,396,21,22
Tbb1125VSG-1204,397,2,5
Tbb1125VSG-1205,93,1,2
Tbb1125VSG-1208,398,3,4
Tbb1125VSG-1209,399,1,2
Tbb1125VSG-1211,400,3,4
Tbb1125VSG-1213,401,3,4
Tbb1125VSG-1214,402,2,3
Tbb1125VSG-1215,403,5,6
Tbb1125VSG-1216,404,3,4
Tbb1125VSG-1221,405,4,6
Tbb1125VSG-1222,406,6,7
Tbb1125VSG-1223,299,3,4
Tbb1125VSG-1224,407,1,2
Tbb1125VSG-1224.1,407,1,2
Tbb1125VSG-1225,408,2,3
Tbb1125VSG-1225.1,408,2,3
Tbb1125VSG-1226,409,4,5
Tbb1125VSG-1229,410,12,29
Tbb1125VSG-1230,411,5,6
Tbb1125VSG-1231,412,1,2
Tbb1125VSG-1232,413,1,2
Tbb1125VSG-1236,414,6,7
Tbb1125VSG-1237,354,1,2
Tbb1125VSG-1238,236,7,8
Tbb1125VSG-1239,355,1,2
Tbb1125VSG-1242,202,6,8
Tbb1125VSG-1243,415,2,3
Tbb1125VSG-1243.1,415,2,3
Tbb1125VSG-1244,416,3,4
Tbb1125VSG-1245,292,5,6
Tbb1125VSG-1251,117,6,7
Tbb1125VSG-1253,417,3,4
Tbb1125VSG-1254,260,5,6
Tbb1125VSG-1255,418,2,3
Tbb1125VSG-1257,419,4,5
Tbb1125VSG-1258,281,8,12
Tbb1125VSG-1259,420,5,6
Tbb1125VSG-1259.1,420,5,6
Tbb1125VSG-1260,421,2,3
Tbb1125VSG-1260.1,421,2,3
Tbb1125VSG-1261,422,2,3
Tbb1125VSG-1262,423,5,6
Tbb1125VSG-1263,424,1,2
Tbb1125VSG-1265,425,3,4
Tbb1125VSG-1267,225,1,2
Tbb1125VSG-1270,426,4,5
Tbb1125VSG-1271,377,3,4
Tbb1125VSG-1272,106,2,3
Tbb1125VSG-1274,426,4,5
Tbb1125VSG-1275,427,4,5
Tbb1125VSG-1276,321,1,2
Tbb1125VSG-1277,82,1,2
Tbb1125VSG-1278,428,2,3
Tbb1125VSG-1279,429,2,3
Tbb1125VSG-1281,280,7,8
Tbb1125VSG-1282,430,2,3
Tbb1125VSG-1283,167,3,4
Tbb1125VSG-1284,427,3,5
Tbb1125VSG-1285,236,7,8
Tbb1125VSG-1288,431,5,7
Tbb1125VSG-1291,432,3,4
Tbb1125VSG-1294,433,2,3
Tbb1125VSG-1295,236,7,8
Tbb1125VSG-1297,264,9,10
Tbb1125VSG-1298,434,2,4
Tbb1125VSG-1300,435,4,5
Tbb1125VSG-1301,436,1,2
Tbb1125VSG-1302,437,7,8
Tbb1125VSG-1303,315,1,2
Tbb1125VSG-1304,104,2,3
Tbb1125VSG-1307,438,1,2
Tbb1125VSG-1309,72,2,3
Tbb1125VSG-1309.1,72,2,3
Tbb1125VSG-1310,162,1,2
Tbb1125VSG-1311,439,3,4
Tbb1125VSG-1312,396,19,22
Tbb1125VSG-1313,109,1,2
Tbb1125VSG-1314,440,3,4
Tbb1125VSG-1317,323,7,9
Tbb1125VSG-1317.1,323,7,9
Tbb1125VSG-1318,441,4,5
Tbb1125VSG-1320,409,4,5
Tbb1125VSG-1321,146,6,12
Tbb1125VSG-1322,442,1,2
Tbb1125VSG-1322.1,442,1,2
Tbb1125VSG-1323,443,2,3
Tbb1125VSG-1324,444,2,4
Tbb1125VSG-1324.1,444,2,4
Tbb1125VSG-1325,445,2,3
Tbb1125VSG-1326,337,8,9
Tbb1125VSG-1327,446,2,3
Tbb1125VSG-1328,447,2,3
Tbb1125VSG-1329,63,13,14
Tbb1125VSG-1330,448,5,6
Tbb1125VSG-1331,194,3,4
Tbb1125VSG-1332,449,1,2
Tbb1125VSG-1332.1,449,1,2
Tbb1125VSG-1333,37,6,7
Tbb1125VSG-1334,450,6,7
Tbb1125VSG-1335,451,8,10
Tbb1125VSG-1336,452,2,3
Tbb1125VSG-1337,326,1,2
Tbb1125VSG-1339,453,4,6
Tbb1125VSG-1341,317,10,11
Tbb1125VSG-1343,311,5,6
Tbb1125VSG-1345,454,3,4
Tbb1125VSG-1346,455,6,9
Tbb1125VSG-1347,246,2,4
Tbb1125VSG-1348,456,2,3
Tbb1125VSG-1350,457,1,2
Tbb1125VSG-1351,445,2,3
Tbb1125VSG-1354,458,2,4
Tbb1125VSG-1356,459,2,3
Tbb1125VSG-1357,460,2,3
Tbb1125VSG-1358,461,3,4
Tbb1125VSG-1361,462,1,2
Tbb1125VSG-1362,463,6,7
Tbb1125VSG-1363,22,6,7
Tbb1125VSG-1364,464,5,7
Tbb1125VSG-1365,69,4,5
Tbb1125VSG-1366,465,6,11
Tbb1125VSG-1366.1,465,6,11
Tbb1125VSG-1367,466,4,5
Tbb1125VSG-1368,351,3,5
Tbb1125VSG-1369,467,2,3
Tbb1125VSG-1370,33,9,12
Tbb1125VSG-1371,468,2,4
Tbb1125VSG-1372,233,3,4
Tbb1125VSG-1372.1,233,3,4
Tbb1125VSG-1373,469,3,4
Tbb1125VSG-1374,470,2,3
Tbb1125VSG-1375,471,1,2
Tbb1125VSG-1376,472,8,9
Tbb1125VSG-1377,473,1,2
Tbb1125VSG-1378,474,1,2
Tbb1125VSG-1379,418,2,3
Tbb1125VSG-1380,475,1,2
Tbb1125VSG-1380.1,475,1,2
Tbb1125VSG-1382,476,1,2
Tbb1125VSG-1383,477,1,2
Tbb1125VSG-1383.1,477,1,2
Tbb1125VSG-1384,478,2,4
Tbb1125VSG-1385,316,8,9
Tbb1125VSG-1387,479,1,2
Tbb1125VSG-1387.1,479,1,2
Tbb1125VSG-1388,410,10,29
Tbb1125VSG-1391,15,8,9
Tbb1125VSG-1392,480,10,13
Tbb1125VSG-1394,481,1,3
Tbb1125VSG-1396,29,2,3
Tbb1125VSG-1397,482,1,2
Tbb1125VSG-1397.1,482,1,2
Tbb1125VSG-1398,483,3,4
Tbb1125VSG-1400,185,6,7
Tbb1125VSG-1402,484,2,3
Tbb1125VSG-1403,431,6,7
Tbb1125VSG-1404,485,4,5
Tbb1125VSG-1405,241,1,2
Tbb1125VSG-1406,309,5,9
Tbb1125VSG-1407,8,1,2
Tbb1125VSG-1409,24,8,10
Tbb1125VSG-1410,486,5,8
Tbb1125VSG-1412,362,2,6
Tbb1125VSG-1413,487,1,3
Tbb1125VSG-1414,129,2,3
Tbb1125VSG-1416,306,4,6
Tbb1125VSG-1417,488,4,5
Tbb1125VSG-1418,489,2,3
Tbb1125VSG-1420,9,3,4
Tbb1125VSG-1422,51,5,7
Tbb1125VSG-1423,490,13,15
Tbb1125VSG-1423.1,490,13,15
Tbb1125VSG-1425,62,4,5
Tbb1125VSG-1426,491,1,2
Tbb1125VSG-1427,488,4,5
Tbb1125VSG-1430,228,1,2
Tbb1125VSG-1431,492,6,8
Tbb1125VSG-1432,492,6,8
Tbb1125VSG-1433,493,8,9
Tbb1125VSG-1434,403,5,6
Tbb1125VSG-1434.1,403,5,6
Tbb1125VSG-1435,494,2,4
Tbb1125VSG-1437,495,4,7
Tbb1125VSG-1438,40,6,8
Tbb1125VSG-1439,496,1,2
Tbb1125VSG-1440,497,6,10
Tbb1125VSG-1441,24,4,10
Tbb1125VSG-1442,498,2,3
Tbb1125VSG-1443,296,3,4
Tbb1125VSG-1443.1,296,3,4
Tbb1125VSG-1444,31,3,4
Tbb1125VSG-1445,171,13,16
Tbb1125VSG-1447,428,2,3
Tbb1125VSG-1447.1,428,2,3
Tbb1125VSG-1448,68,2,3
Tbb1125VSG-1448.1,68,2,3
Tbb1125VSG-1449,499,3,7
Tbb1125VSG-1452,500,2,4
Tbb1125VSG-1453,298,4,6
Tbb1125VSG-1454,501,6,9
Tbb1125VSG-1455,87,5,6
Tbb1125VSG-1456,357,6,10
Tbb1125VSG-1456.1,357,6,10
Tbb1125VSG-1457,499,1,7
Tbb1125VSG-1458,502,1,2
Tbb1125VSG-1459,503,2,3
Tbb1125VSG-1460,433,2,3
Tbb1125VSG-1461,504,4,5
Tbb1125VSG-1462,505,2,3
Tbb1125VSG-1463,337,8,9
Tbb1125VSG-1464,506,2,4
Tbb1125VSG-1465,183,6,7
Tbb1125VSG-1466,507,6,11
Tbb1125VSG-1467,508,3,4
Tbb1125VSG-1468,509,6,9
